"preditor","predicao_xgboost","predicao_rsf","prob_teorica"
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,0.998120486736298,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
0,0.998120486736298,0.676257754898669,0.6011338
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,0.998120486736298,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
0,NA,0.676257754898669,0.6011338
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
1,NA,0.626785310178018,0.5138367
